konae,rarangi,kupu,root,suffix,nominal,double_passive
mbc155-not-stripped.txt,15,fakatUNia,fakatU,Nia,no,no
mbc155-not-stripped.txt,15,fakahokia,fakahoki,a,no,no
mbc155-not-stripped.txt,15,fakatUNia,fakatU,Nia,no,no
mbc155-not-stripped.txt,15,patua,patu,a,no,no
mbc155-not-stripped.txt,15,tonohia,tono,hia,no,no
mbc155-not-stripped.txt,15,huaina,hua,ina,no,no
mbc155-not-stripped.txt,15,haria,hari,a,no,no
mbc155-not-stripped.txt,15,fakapouNia,fakapou,Nia,no,no
mbc155-not-stripped.txt,15,kitea,kite,a,no,no
mbc155-not-stripped.txt,15,fakatUNia,fakatU,Nia,no,no
mbc155-not-stripped.txt,15,fakatUNia,fakatU,Nia,no,no
mbc155-not-stripped.txt,15,puruNia,puru,Nia,no,no
mbc155-not-stripped.txt,15,fakatinanahia,fakatinana,hia,no,no
mbc155-not-stripped.txt,15,patua,patu,a,no,no
mbc155-not-stripped.txt,15,haNaia,haNa,ia,no,no
mbc116-not-stripped.txt,43,roNohia,roNo,hia,no,no
