SubHead,kei.te,AE,Key,Diff,DiffAbs,Count
whakaahua,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,10.0
whakaako,-0.0006508748086193158,0.0012683396936022787,0.000617464884982963,-0.0019192145022215944,0.0019192145022215944,17.0
whakaara,-0.000370209372080993,0.0005410617011164703,0.00017085232903547734,-0.0009112710731974633,0.0009112710731974633,15.0
whakaari,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakaaro,0.002806429979649139,-0.0013672009168918095,0.0014392290627573297,0.0041736308965409485,0.0041736308965409485,48.0
whakaaroaro,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakaata,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakaatu,-0.001327115960385116,0.005172219997698646,0.00384510403731353,-0.006499335958083763,0.006499335958083763,20.0
whakaeke,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,14.0
whakaeketanga,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakaemi,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,11.0
whakahaere,-0.004764729880215658,0.019232970625938407,0.01446824074572275,-0.023997700506154067,0.023997700506154067,49.0
whakahau,-0.0008685758342917155,0.0021157087218369973,0.0012471328875452818,-0.0029842845561287128,0.0029842845561287128,16.0
whakaheke,0.0016457748152096435,-0.0005345117825063005,0.001111263032703343,0.002180286597715944,0.002180286597715944,10.0
whakahihiko,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakahoki,-0.0008613458378062968,0.005035434317974073,0.0041740884801677765,-0.00589678015578037,0.00589678015578037,32.0
whakahokinga,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakahokitanga,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakahokohoko,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakahono,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
whakahonohono,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
whakahua,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakahui,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakahuihui,2.5366343146484508e-05,-2.471530582238272e-05,6.510373241017876e-07,5.008164896886723e-05,5.008164896886723e-05,12.0
whakahuri,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakahāwea,0.0007016074949122848,-0.0003418002292229524,0.0003598072656893324,0.0010434077241352371,0.0010434077241352371,13.0
whakahē,0.013268112665731264,-0.0024239214856893797,0.010844191180041884,0.015692034151420644,0.015692034151420644,34.0
whakahīhī,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakahōhā,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakahōnore,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
whakaingoa,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,10.0
whakainu,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakairi,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,11.0
whakairo,-0.0008613458378062968,0.005035434317974073,0.0041740884801677765,-0.00589678015578037,0.00589678015578037,13.0
whakaiti,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakakamakama,2.5366343146484508e-05,-2.471530582238272e-05,6.510373241017876e-07,5.008164896886723e-05,5.008164896886723e-05,10.0
whakakaupapa,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
