SubHead,ka,AE,Key,Diff,DiffAbs,Count
taurite,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tautohe,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tautohetohe,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tautoko,-0.0025402224512626947,0.009086667882041759,0.006546445430779064,-0.011626890333304454,0.011626890333304454,55.0
tawhiti,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,11.0
teina,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
teitei,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
teiteitanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
teka,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
tekau,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,23.0
tere,0.0006766283007016842,-0.00043028929008500646,0.00024633901061667777,0.0011069175907866906,0.0011069175907866906,17.0
tereina,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
the,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
three,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tia,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
tiaho,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tiainamana,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tiaki,-0.001214602603251987,0.013903274285513714,0.012688671682261727,-0.0151178768887657,0.0151178768887657,23.0
tiamana,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tika,0.004127147826346195,-0.000787375065349507,0.003339772760996688,0.004914522891695702,0.004914522891695702,64.0
tikanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,21.0
tiki,0.00014110381184233883,-0.00013459855055493063,6.505261287408206e-06,0.0002757023623972695,0.0002757023623972695,22.0
timu,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,9.0
tinana,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,13.0
tini,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,15.0
tini-o-maru,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tinihanga,-0.0005238729763860724,0.0014991631135078624,0.00097529013712179,-0.002023036089893935,0.002023036089893935,11.0
tino,0.0014755284616267215,-0.0007037513361418324,0.000771777125484889,0.002179279797768554,0.002179279797768554,50.0
tipu,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,13.0
tipuna,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,8.0
tira,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,11.0
tiriti,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,16.0
tiro,4.7034603947446243e-05,-4.4866183518310175e-05,2.168420429136069e-06,9.190078746575642e-05,9.190078746575642e-05,17.0
tirohanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tirotiro,-0.0006436950229184683,0.001228037938210424,0.0005843429152919557,-0.0018717329611288923,0.0018717329611288923,12.0
