SubHead,kua,AE,Key,Diff,DiffAbs,Count
kahungunu,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kai,-0.0006603395270565067,0.00253311592479896,0.0018727763977424532,-0.0031934554518554667,0.0031934554518554667,28.0
kaiako,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kaiarataki,-0.00031989395703688737,0.0006135695680895927,0.00029367561105270537,-0.0009334635251264801,0.0009334635251264801,9.0
kaihautū,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kaikōrero,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
kaimahi,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kaingākau,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kaipara,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kaipuke,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kaitiaki,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kaitākaro,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,12.0
kaiwhakahaere,-0.0005190418490350034,0.0014933149382504952,0.0009742730892154919,-0.002012356787285499,0.002012356787285499,12.0
kaiwhakarite,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kaiārahi,-0.00031989395703688737,0.0006135695680895927,0.00029367561105270537,-0.0009334635251264801,0.0009334635251264801,11.0
kakama,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
kakara,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kake,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
kamupene,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kanapa,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kanohi,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,12.0
kanohinohi,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
kape,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
kapi,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,11.0
kapo,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,10.0
karakia,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,11.0
karanga,0.00014386129087912527,-0.00013796589177103114,5.895399108094132e-06,0.0002818271826501564,0.0002818271826501564,44.0
