SubHead,AVP,APV,Key,Diff,DiffAbs,Count
rui,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
ruke,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
rāhui,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
rō,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
rūrū,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
stratford,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tae,0.004958271071314176,-0.0029107102620048874,0.0020475608093092888,0.007868981333319064,0.007868981333319064,20.0
taka-hue,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
takahi,0.014235313336467664,-0.004333112984830473,0.009902200351637191,0.018568426321298136,0.018568426321298136,22.0
takai,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
takatakahi,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
taki,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
takoha,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
takutaku,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tangi,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tango,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
tao,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
taonga,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tapa,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
tari,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tau,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tauira,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tautohe,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tautohetohe,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tautoko,-0.0057455025841633535,0.0118049670581717,0.006059464474008346,-0.017550469642335052,0.017550469642335052,30.0
tere,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tiaki,-0.0006083399675937463,0.0006666253633959884,5.828539580224215e-05,-0.0012749653309897346,0.0012749653309897346,18.0
tiki,-0.001915167528054451,0.003934989019390566,0.0020198214913361152,-0.005850156547445017,0.005850156547445017,10.0
tinihanga,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
tino,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tirotiro,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
titiro,-0.00330425159065335,0.005431250702013812,0.002126999111360462,-0.008735502292667162,0.008735502292667162,22.0
toa,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tohatoha,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
tohi,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
tohu,-0.0012552043182459146,0.0017193326909306517,0.0004641283726847371,-0.0029745370091765664,0.0029745370091765664,12.0
tohutohu,-0.0026802794228730172,0.007342696269582911,0.004662416846709894,-0.010022975692455928,0.010022975692455928,12.0
tono,-0.003830335056108902,0.007869978038781133,0.0040396429826722305,-0.011700313094890034,0.011700313094890034,20.0
tope,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tuhi,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
tuitui,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
tuku,0.021892902301574212,-0.009996030680500189,0.011896871621074024,0.0318889329820744,0.0318889329820744,56.0
tunu,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
turaki,-0.00014338196802408666,0.00014729950813403435,3.917540109947689e-06,-0.000290681476158121,0.000290681476158121,14.0
tuwhera,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
tā,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tāhae,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
tātaki,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tātari,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
tāua,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tētahi,-0.001915167528054451,0.003934989019390566,0.0020198214913361152,-0.005850156547445017,0.005850156547445017,10.0
tīmata,0.014936466064783754,-0.006295206658661835,0.00864125940612192,0.021231672723445588,0.021231672723445588,34.0
tō,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
tūkino,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
tūtaki,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
ui,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
utu,-0.00014338196802408666,0.00014729950813403435,3.917540109947689e-06,-0.000290681476158121,0.000290681476158121,14.0
waea,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
waiata,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
waihanga,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
waiho,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
wero,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whai,0.00020324531817330472,-0.00019885568470768305,4.389633465621661e-06,0.00040210100288098774,0.00040210100288098774,24.0
whaiwhai,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
whakaae,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
whakaako,-0.0026802794228730172,0.007342696269582911,0.004662416846709894,-0.010022975692455928,0.010022975692455928,12.0
whakaara,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
