Predecessor,mā,nā,Key,Diff,DiffAbs,Count
rākau,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
rātou,0.011075570034059002,-0.003796590200800367,0.007278979833258635,0.014872160234859369,0.014872160234859369,8.0
rīpoata,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
rōia,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
rōpū,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
take,0.011075570034059002,-0.003796590200800367,0.007278979833258635,0.014872160234859369,0.014872160234859369,8.0
tamariki,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
tamāhine,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
tangata,-0.01024969941796154,0.2002689496204542,0.19001925020249266,-0.21051864903841572,0.21051864903841572,40.0
taonga,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
taputapu,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
tau,0.03649211621763411,-0.006254558926190245,0.030237557291443867,0.04274667514382435,0.04274667514382435,14.0
tauira,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
tekau,0.03649211621763411,-0.006254558926190245,0.030237557291443867,0.04274667514382435,0.04274667514382435,14.0
tika,0.046295014065828796,-0.006801192542598962,0.03949382152322983,0.05309620660842776,0.05309620660842776,16.0
tikanga,0.011075570034059002,-0.003796590200800367,0.007278979833258635,0.014872160234859369,0.014872160234859369,8.0
tino,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
titiro,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
tohunga,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
tokotoru,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
tono,0.011075570034059002,-0.003796590200800367,0.007278979833258635,0.014872160234859369,0.014872160234859369,8.0
toru,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
tou,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
