SubHead,True,False,Key,Diff,DiffAbs,Count
taka-hue,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
takahi,-0.00154936452145066,0.001929898250576723,0.0003805337291260631,-0.003479262772027383,0.003479262772027383,18.0
takatakahi,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
takawaenga,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
taki,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
takoha,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tangi,1.8630319569199854e-05,-1.8564835141891596e-05,6.548442730825815e-08,3.719515471109145e-05,3.719515471109145e-05,12.0
tango,-0.0028323047302213785,0.014111746766568732,0.011279442036347353,-0.01694405149679011,0.01694405149679011,12.0
tapa,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tapahi,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tari,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tau,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tauira,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tautohe,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tautoko,-0.00283558361699884,0.004238425072508812,0.001402841455509972,-0.007074008689507652,0.007074008689507652,20.0
tiaki,0.004327896703775061,-0.002875122942050919,0.0014527737617241422,0.00720301964582598,0.00720301964582598,20.0
tiki,0.009804694825527122,-0.002442557981579032,0.007362136843948089,0.012247252807106153,0.012247252807106153,10.0
tikitiki,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tinihanga,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
tiro,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tirotiro,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
titiro,0.004535685662826891,-0.0027118458040311217,0.0018238398587957691,0.007247531466858012,0.007247531466858012,16.0
toha,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
tohatoha,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tohe,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
