SubHead_y,False,True,Key,Diff,DiffAbs,Count
tuku,-0.00038760977564723245,0.0004021097763785615,1.4500000731329033e-05,-0.0007897195520257939,0.0007897195520257939,14.0
tuwhera,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
tā,-0.0037546712067611236,0.015580515190099991,0.011825843983338868,-0.019335186396861114,0.019335186396861114,8.0
tārai,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
tēnei,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
tīmata,-0.004845040932555174,0.008935622936439956,0.004090582003884782,-0.01378066386899513,0.01378066386899513,14.0
tō,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
tūkino,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
utu,0.003891705349504899,-0.0026915261450043003,0.0012001792045005987,0.006583231494509199,0.006583231494509199,12.0
waihanga,0.023229837000533493,-0.005355296972750726,0.017874540027782767,0.02858513397328422,0.02858513397328422,14.0
wawata,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
wero,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
whai,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
whaka-,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakaae,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
whakaahua,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
whakaako,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakaara,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakaatu,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
whakahaere,0.024513061423971094,-0.011302250948521952,0.013210810475449142,0.035815312372493045,0.035815312372493045,32.0
whakahau,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
whakahoki,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
whakairo,0.0006416122117187999,-0.000591657003020499,4.99552086983009e-05,0.0012332692147392988,0.0012332692147392988,10.0
whakakopi,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
whakakotahi,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakamahi,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakamana,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakamutu,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakamārama,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
whakangāwari,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
whakanui,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakapahū,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakapau,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakaputa,0.0006416122117187999,-0.000591657003020499,4.99552086983009e-05,0.0012332692147392988,0.0012332692147392988,10.0
whakarahi,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakarangatira,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
whakarite,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
whakarāhui,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
whakatakoto,0.0006416122117187999,-0.000591657003020499,4.99552086983009e-05,0.0012332692147392988,0.0012332692147392988,10.0
whakatangi,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
whakatatū,0.01120724287520353,-0.0038754973081223886,0.007331745567081141,0.01508274018332592,0.01508274018332592,10.0
whakatau,0.002459334103847421,-0.002041067792755123,0.0004182663110922982,0.004500401896602544,0.004500401896602544,16.0
whakatauira,-0.0037546712067611236,0.015580515190099991,0.011825843983338868,-0.019335186396861114,0.019335186396861114,8.0
whakatika,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakatikatika,-0.005369684850946182,0.014854821594953306,0.009485136744007125,-0.020224506445899487,0.020224506445899487,12.0
whakatinana,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakatipu,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakatutuki,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
whakatutū,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
whakatuwhera,-0.006547223380308766,0.022640489608914436,0.01609326622860567,-0.0291877129892232,0.0291877129892232,14.0
whakatō,0.003891705349504899,-0.0026915261450043003,0.0012001792045005987,0.006583231494509199,0.006583231494509199,12.0
whakatū,-0.0037546712067611236,0.015580515190099991,0.011825843983338868,-0.019335186396861114,0.019335186396861114,8.0
whakauru,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakautu,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakawā,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakawātea,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whakawāwā,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whao,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
whiriwhiri,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whoatu,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whā,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
whānako,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
whāngai,0.005837558024257349,-0.0040372892175064515,0.0018002688067508977,0.0098748472417638,0.0098748472417638,18.0
wāhi,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
wānanga,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
āhua,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
ārahi,0.01120724287520353,-0.0038754973081223886,0.007331745567081141,0.01508274018332592,0.01508274018332592,10.0
āta,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
āwhina,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
ōrite,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
ū,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
