None,1058,haria,tērā
None,1059,mihi,koe
None,1060,mihi,kaupapa
None,1061,hiahia,mahi
None,1062,uru,wāhi
None,1063,titiro,āhua
None,1064,mutu,tapahia
None,1065,whai,tāngata
None,1066,titiro,āhua
None,1067,puta,koutou
None,1068,piki,tekau
None,1069,tau,tekau
None,1070,whakawhiti,Puni
None,1071,eke,tērā
None,1072,hīkoi,kura
None,1073,huri,tuku
None,1074,tiro,kōrero
None,1075,mihi,*
None,1076,mihi,koutou
None,1077,tae,karanga
None,1078,whakahurihia,reo
None,1079,huri,tētahi
None,1080,huri,reo
None,1081,hoki,reo
None,1082,huri,tētahi
None,1083,mihi,koutou
None,1084,whakaaturia,koutou
None,1085,whakaaturia,koutou
None,1086,rongo,ētahi
None,1087,tae,kāinga
None,1088,tae,moenga
None,1089,wawata,wai
None,1090,whakatere,takutai
None,1091,hoki,kuia
None,1092,aroha,tātou
None,1093,whakarongo,kōrero
None,1094,piki,ao
None,1095,haere,Rāhoroi
None,1096,āhei,tiaki
None,1097,tau,whitu
None,1098,tae,tautoko
None,1099,tū,Piri-ngātahi
None,1100,oho,mātakitaki
None,1101,titiro,ētahi
None,1102,titiro,nekenekehanga
None,1103,āta,koutou
None,1104,kata,rāua
None,1105,tae,taiapa
None,1106,tae,kokonga
None,1107,haere,motokā
None,1108,mōrena,kaiako
None,1109,kōrero,kuia
None,1110,pai,koutou
None,1111,huri,hāuaua
None,1112,whakawhiti,tērā
None,1113,whakawhiti,tērā
None,1114,āta,ngutu
None,1115,kōrero,koutou
None,1116,eke,waka
None,1117,takaia,tāna
None,1118,puta,koe
None,1119,puta,koe
None,1120,tukuna,*
None,1121,mea,Pou
None,1122,kī,Pou
None,1123,tae,Awarua
None,1124,tae,harakeke
None,1125,maunu,moana
None,1126,karanga,rātou
None,1127,taurite,mekemeke
None,1128,kī,tēina
None,1129,titiro,rātou
None,1130,tau,pokapoka
None,1131,hoki,koe
