Argument,mā,nā,Key,Diff,DiffAbs,Count
tika,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
tikanga,0.0069415721158999555,-0.0028429495990596634,0.0040986225168402925,0.009784521714959618,0.009784521714959618,14.0
tini,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tino,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
titiro,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
toa,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
toenga,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
tohunga,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tokorua,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tokotoru,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tono,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
tonu,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
tou,0.0016427839171530964,-0.0012615167898838864,0.00038126712726920995,0.002904300707036983,0.002904300707036983,14.0
tupuna,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
ture,0.016499112704124116,-0.00281553329850101,0.013683579405623106,0.019314646002625127,0.019314646002625127,14.0
tāhū,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tākaro,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tāne,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
tāngata,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
tātou,0.04364685129072858,-0.012188010442937961,0.03145884084779062,0.055834861733666544,0.055834861733666544,56.0
tāua,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tāwāhi,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tēnei,-0.00400376049030406,0.00614908756830934,0.00214532707800528,-0.0101528480586134,0.0101528480586134,30.0
tēnā,0.020927121522552487,-0.003060996164467982,0.017866125358084507,0.023988117687020468,0.023988117687020468,16.0
tērā,0.0016427839171530964,-0.0012615167898838864,0.00038126712726920995,0.002904300707036983,0.002904300707036983,14.0
tētahi,0.004165117404606684,-0.002132301346466639,0.0020328160581400455,0.006297418751073323,0.006297418751073323,12.0
tīma,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
tōna,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
