Head,mā,nā,Key,Diff,DiffAbs,Count
kōmihana,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
kōrero,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
kōrua,0.00493246657692019,-0.0013265345718232332,0.003605932005096957,0.006259001148743424,0.006259001148743424,10.0
kōti,0.0005332195433676794,-0.0004916699685598082,4.1549574807871214e-05,0.0010248895119274876,0.0010248895119274876,26.0
kūare,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
maaka,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
maha,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
mahi,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
mana,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
manatū,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
marae,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
maree,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
mary,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
matawaka,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
mate,-0.0013702530480138783,0.005896240388423355,0.004525987340409476,-0.007266493436437233,0.007266493436437233,10.0
matua,-0.0014388212499057938,0.0030956457194942833,0.0016568244695884895,-0.004534466969400077,0.004534466969400077,12.0
matua-te-mana,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
maunga,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
mema,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
mere,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
mihinare,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
minenga,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
minita,-0.0014388212499057938,0.0030956457194942833,0.0016568244695884895,-0.004534466969400077,0.004534466969400077,12.0
mokopuna,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
momo,0.00493246657692019,-0.0013265345718232332,0.003605932005096957,0.006259001148743424,0.006259001148743424,10.0
moni,0.00721320552778972,-0.0015519320984032428,0.005661273429386477,0.008765137626192963,0.008765137626192963,12.0
motu,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
moutere,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
mui,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
māhita,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
māmā,-0.0001371364037838308,0.00014752552528260585,1.0389121498775042e-05,-0.00028466192906643665,0.00028466192906643665,8.0
mānuka,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
māori,0.02885282211115888,-0.006207728393612971,0.02264509371754591,0.03506055050477185,0.03506055050477185,48.0
māreikura,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
mātauranga,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
mātou,0.027248171312784293,-0.013190592021870578,0.014057579290913716,0.04043876333465487,0.04043876333465487,116.0
mātua,-0.00020570460567574596,0.00022128828792390858,1.5583682248162617e-05,-0.0004269928935996545,0.0004269928935996545,12.0
māua,-0.001579777509341775,0.008497288118429244,0.00691751060908747,-0.010077065627771019,0.010077065627771019,12.0
māui,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
māui-tikitiki-ā-taranga,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
mīhana,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
mīhini,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
na,-0.061987517300964384,0.1767643079936351,0.11477679069267072,-0.23875182529459948,0.23875182529459948,460.0
nanakia,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
napi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
ngāi,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
niho,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
niko,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
nui,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
nāhi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
nāna,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
ohu,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
ono,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
pakeke,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
paki,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
papa,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
patricia,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
pene,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
penehīni,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
pepa,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
pire,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
piri,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
pirimia,-0.0001371364037838308,0.00014752552528260585,1.0389121498775042e-05,-0.00028466192906643665,0.00028466192906643665,8.0
pita,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
poari,0.0006157544888961393,-0.0005520021301972966,6.375235869884269e-05,0.001167756619093436,0.001167756619093436,22.0
pononga,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
pouaka,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
ppta,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
puea,-0.0013702530480138783,0.005896240388423355,0.004525987340409476,-0.007266493436437233,0.007266493436437233,10.0
puhi,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
puku,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
puni,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
putiputi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
pā,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
pākehā,-0.0003428410094595772,0.0003688138132065149,2.5972803746937686e-05,-0.0007116548226660921,0.0007116548226660921,20.0
pānui,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
pēnei,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
pīhopa,-0.0001371364037838308,0.00014752552528260585,1.0389121498775042e-05,-0.00028466192906643665,0.00028466192906643665,8.0
pōti,0.00493246657692019,-0.0013265345718232332,0.003605932005096957,0.006259001148743424,0.006259001148743424,10.0
pōtiki,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
pū,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
pūrewa,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
pūtea,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
raharuhi,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
rahi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
rangahau,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
rangatahi,0.0023290968846762647,-0.00125277180918193,0.0010763250754943347,0.0035818686938581946,0.0035818686938581946,12.0
rangatira,0.0008062232391995907,-0.0006504755679905789,0.0001557476712090118,0.0014566988071901695,0.0014566988071901695,14.0
rangi-pare,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
raruraru,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
raukura,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
ray,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
reimana,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
rena,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
reo,0.00721320552778972,-0.0015519320984032428,0.005661273429386477,0.008765137626192963,0.008765137626192963,12.0
reti,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
reuben,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
rima,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
ringa,0.00493246657692019,-0.0013265345718232332,0.003605932005096957,0.006259001148743424,0.006259001148743424,10.0
ringaringa,-0.0001371364037838308,0.00014752552528260585,1.0389121498775042e-05,-0.00028466192906643665,0.00028466192906643665,8.0
rino,0.0009364506284317593,-0.0006715959052389385,0.00026485472319282086,0.0016080465336706978,0.0016080465336706978,10.0
roa,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
rohe,0.00721320552778972,-0.0015519320984032428,0.005661273429386477,0.008765137626192963,0.008765137626192963,12.0
rua,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
rā,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
rātou,-0.009149264318911485,0.010159886868312266,0.001010622549400781,-0.01930915118722375,0.01930915118722375,378.0
rāua,-0.0033003871089661956,0.010651249306209087,0.007350862197242892,-0.013951636415175283,0.013951636415175283,24.0
rāwiri,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
rōpū,0.003958993412484813,-0.00170356686234195,0.002255426550142863,0.0056625602748267626,0.0056625602748267626,14.0
