Head,mā,nā,AE
taringa,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tau,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tauhou,0.0018779342723004694,0.00101010101010101,0.00145985401459854
taunga,0.0018779342723004694,0.00101010101010101,0.00145985401459854
taura,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tere-moana,0.0009389671361502347,0.00202020202020202,0.00145985401459854
terry,0.0009389671361502347,0.00202020202020202,0.00145985401459854
āhua,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tāina,0.0009389671361502347,0.00202020202020202,0.00145985401459854
timoti,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tohutohu,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tokoono,0.0009389671361502347,0.00202020202020202,0.00145985401459854
wētahi,0.0009389671361502347,0.00202020202020202,0.00145985401459854
whakaaro,0.0018779342723004694,0.00101010101010101,0.00145985401459854
tā-roa,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tāhuhu,0.0009389671361502347,0.00202020202020202,0.00145985401459854
tuakana,0.0018779342723004694,0.00101010101010101,0.00145985401459854
pire,0.0018779342723004694,0.00101010101010101,0.00145985401459854
reti,0.0009389671361502347,0.00202020202020202,0.00145985401459854
maha,0.0009389671361502347,0.00202020202020202,0.00145985401459854
inanahi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
ingoa,0.0018779342723004694,0.00101010101010101,0.00145985401459854
joe,0.0009389671361502347,0.00202020202020202,0.00145985401459854
kaipuke,0.0009389671361502347,0.00202020202020202,0.00145985401459854
kaitango,0.0009389671361502347,0.00202020202020202,0.00145985401459854
kaituhi,0.0009389671361502347,0.00202020202020202,0.00145985401459854
kaitā,0.0009389671361502347,0.00202020202020202,0.00145985401459854
